,Ruta,Nombres
108,M47,M47                        Portal Sur - JFK Coop.Financiera - Museo Nacional                    L-S            | 04:30 AM            - 11:00 PM D-F            | 04:00 AM            - 10:00 PM
109,M51,M51                        Portal de las Américas - Museo Nacional                    L-S            | 04:30 AM            - 11:00 PM
110,M82,M82                        Portal 20 de Julio - Clínica El Bosque                    L-S            | 04:00 AM            - 11:00 PM D-F            | 06:00 AM            - 10:00 PM
111,M82,M82                        Portal 20 de Julio - Clínica El Bosque [Ciclovía]                    D-F            | 07:00 AM            - 02:00 PM
112,M83,M83                        Usme Porvenir II - Museo Nacional                    L-V            | 04:30 AM            - 11:00 PM S            | 04:30 AM            - 10:30 PM D-F            | 04:30 AM            - 10:00 PM
113,M84,M84                        ETB Tibabuyes - Br. Bellavista                    L-S            | 05:00 AM            - 11:00 PM D-F            | 06:00 AM            - 10:00 PM
114,M84,M84                        ETB Tibabuyes - Museo Nacional (Ciclovía)                    D-F            | 07:00 AM            - 02:00 PM
115,M86,M86                        Portal Eldorado Aeropuerto - Hacienda Santa Bárbara                    L-V            | 04:30 AM            - 10:05 PM S            | 04:30 AM            - 10:15 PM D-F            | 04:30 AM            - 09:15 PM
116,M86,M86                        Portal Eldorado Aeropuerto - Hacienda Santa Bárbara ( Ciclovía) ( Domingos)                    D-F            | 07:00 AM            - 02:00 PM
117,Norte,Norte                        Portal Norte - Maluma                    S            | 10:50 PM            - 12:00 AM
118,Sur,Sur                        Portal Sur - Maluma                    S            | 10:50 PM            - 12:00 AM
119,Usme,Usme                        Portal Usme - Maluma                    S            | 10:50 PM            - 12:00 AM
